"familia","sector","estado","canton","provincia","id_fact_oec","num_cer","total_horas","total_cursos","volumen_capacitados","total_ganacias","mes","anio","%_asistencia","prediction(%_asistencia)"
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayaquil","guayas",0.0,6.0,36.0,3.0,8.0,1500.0,6.0,2022.0,0.0,6.146765066246136E-5
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayaquil","guayas",1.0,1.0,6.0,1.0,1.0,250.0,8.0,2022.0,0.0,8.579741826038063E-5
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayaquil","guayas",3.0,4.0,24.0,1.0,4.0,1000.0,3.0,2022.0,0.0,8.579741826038063E-5
"actividades tipo servicios","enseñanza","habilitado","guayaquil","guayas",6.0,2.0,12.0,3.0,12.0,500.0,2.0,2022.0,0.0,-6.197815718182991E-5
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayaquil","guayas",9.0,7.0,42.0,2.0,11.0,1750.0,7.0,2022.0,0.0,5.460582873224613E-5
"actividades tipo servicios","enseñanza","habilitado","guayaquil","guayas",12.0,1.0,6.0,2.0,7.0,250.0,3.0,2022.0,0.0,6.216401699061808E-5
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayaquil","guayas",13.0,1.0,6.0,1.0,1.0,250.0,4.0,2022.0,0.0,8.579741826038063E-5
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayaquil","guayas",20.0,11.0,66.0,2.0,12.0,2750.0,2.0,2022.0,0.0,1.0936199610523008E-5
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayaquil","guayas",23.0,7.0,42.0,2.0,8.0,1750.0,3.0,2022.0,0.0,9.827301222271618E-5
"actividades tipo servicios","enseñanza","habilitado","guayaquil","guayas",24.0,1.0,6.0,2.0,8.0,250.0,3.0,2022.0,0.0,6.216401699061808E-5
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayaquil","guayas",32.0,4.0,24.0,2.0,7.0,1000.0,5.0,2022.0,0.0,8.579741826038063E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",34.0,1.0,6.0,1.0,1.0,250.0,6.0,2022.0,0.0,6.216401699061808E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",35.0,1.0,6.0,1.0,1.0,250.0,7.0,2022.0,0.0,6.216401699061808E-5
"actividades tipo servicios","enseñanza","habilitado","guayaquil","guayas",37.0,1.0,6.0,2.0,2.0,250.0,4.0,2022.0,0.0,6.216401699061808E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",39.0,1.0,6.0,1.0,1.0,250.0,5.0,2022.0,0.0,6.216401699061808E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",40.0,3.0,18.0,2.0,18.0,750.0,1.0,2022.0,0.0,-1.827714685491682E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",43.0,4.0,24.0,3.0,15.0,1000.0,6.0,2022.0,0.0,-1.8308528060106792E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",44.0,2.0,12.0,2.0,19.0,500.0,8.0,2022.0,0.0,2.53924822668063E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",45.0,9.0,54.0,3.0,26.0,2250.0,4.0,2022.0,0.0,1.9879732566137082E-4
