"familia","sector","estado","canton","provincia","num_cer","total_horas","volumen_capacitados","total_ganacias","dia","mes","anio","total_cursos","prediction(total_cursos)"
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayaquil","guayas",6.0,36.0,8.0,1500.0,1.0,6.0,2022.0,3.0,2.1790526562016774
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayaquil","guayas",1.0,6.0,1.0,250.0,2.0,8.0,2022.0,1.0,1.0138649772369925
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayaquil","guayas",4.0,24.0,4.0,1000.0,5.0,3.0,2022.0,1.0,1.2442395938268627
"actividades tipo servicios","enseñanza","habilitado","guayaquil","guayas",2.0,12.0,12.0,500.0,6.0,2.0,2022.0,3.0,2.7545819171281645
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayaquil","guayas",7.0,42.0,11.0,1750.0,10.0,7.0,2022.0,2.0,2.455624339796416
"actividades tipo servicios","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,7.0,250.0,12.0,3.0,2022.0,2.0,3.1463797728392118
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayaquil","guayas",1.0,6.0,1.0,250.0,12.0,4.0,2022.0,1.0,0.9666220774478669
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayaquil","guayas",11.0,66.0,12.0,2750.0,17.0,2.0,2022.0,2.0,1.7039326123048548
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayaquil","guayas",7.0,42.0,8.0,1750.0,21.0,3.0,2022.0,2.0,1.8814215609817646
"actividades tipo servicios","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,8.0,250.0,21.0,3.0,2022.0,2.0,3.40825148919241
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayaquil","guayas",4.0,24.0,7.0,1000.0,31.0,5.0,2022.0,2.0,3.1369064463637963
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,1.0,250.0,7.0,6.0,2022.0,1.0,0.9120567146218699
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,1.0,250.0,11.0,7.0,2022.0,1.0,0.9713685595178712
"actividades tipo servicios","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,2.0,250.0,28.0,4.0,2022.0,2.0,2.059336450782653
