"familia","sector","estado","canton","provincia","num_cer","total_horas","total_cursos","volumen_capacitados","total_ganacias","mes","anio","%_asistencia","prediction(%_asistencia)"
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayaquil","guayas",6.0,36.0,3.0,8.0,1500.0,6.0,2022.0,0.0,5.050543196760239E-4
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayaquil","guayas",1.0,6.0,1.0,1.0,250.0,8.0,2022.0,0.0,2.5981281778948446E-4
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayaquil","guayas",4.0,24.0,1.0,4.0,1000.0,3.0,2022.0,0.0,4.5268772659463625E-4
"actividades tipo servicios","enseñanza","habilitado","guayaquil","guayas",2.0,12.0,3.0,12.0,500.0,2.0,2022.0,0.0,1.7562340566863472E-4
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayaquil","guayas",7.0,42.0,2.0,11.0,1750.0,7.0,2022.0,0.0,5.205881053755414E-4
"actividades tipo servicios","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,2.0,7.0,250.0,3.0,2022.0,0.0,1.213421839609376E-4
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayaquil","guayas",1.0,6.0,1.0,1.0,250.0,4.0,2022.0,0.0,2.5981281778948446E-4
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayaquil","guayas",11.0,66.0,2.0,12.0,2750.0,2.0,2022.0,0.0,3.5592554253733883E-4
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayaquil","guayas",7.0,42.0,2.0,8.0,1750.0,3.0,2022.0,0.0,5.075536675051675E-4
"actividades tipo servicios","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,2.0,8.0,250.0,3.0,2022.0,0.0,1.213421839609376E-4
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayaquil","guayas",4.0,24.0,2.0,7.0,1000.0,5.0,2022.0,0.0,5.205881053755414E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,1.0,1.0,250.0,6.0,2022.0,0.0,2.620664583489864E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,1.0,1.0,250.0,7.0,2022.0,0.0,2.620664583489864E-4
"actividades tipo servicios","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,2.0,2.0,250.0,4.0,2022.0,0.0,1.3437662183131156E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,1.0,1.0,250.0,5.0,2022.0,0.0,2.620664583489864E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,18.0,2.0,18.0,750.0,1.0,2022.0,0.0,4.797429316043102E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,24.0,3.0,15.0,1000.0,6.0,2022.0,0.0,5.073079602355259E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,12.0,2.0,19.0,500.0,8.0,2022.0,0.0,6.444054944425128E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",9.0,54.0,3.0,26.0,2250.0,4.0,2022.0,0.0,6.288717087429953E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",7.0,42.0,3.0,31.0,1750.0,6.0,2022.0,0.0,-0.003828319929523527
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,24.0,2.0,5.0,1000.0,5.0,2022.0,0.0,5.228417459350434E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,12.0,2.0,11.0,500.0,2.0,2022.0,0.0,3.581791830968408E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,3.0,5.0,250.0,5.0,2022.0,0.0,3.0139861356000015E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",10.0,60.0,3.0,16.0,2500.0,6.0,2022.0,0.0,5.073079602355259E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,2.0,20.0,250.0,7.0,2022.0,0.0,4.3849614776698704E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",5.0,30.0,4.0,30.0,1250.0,4.0,2022.0,0.0,6.12233946087404E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,2.0,3.0,250.0,2.0,2020.0,0.0,1.5226983642131504E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",18.0,108.0,3.0,20.0,4500.0,9.0,2021.0,0.0,4.492750191659846E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,18.0,3.0,27.0,750.0,12.0,2020.0,0.0,4.0893786055713494E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",28.0,168.0,2.0,30.0,7000.0,6.0,2022.0,0.0,-0.003368442666540172
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,12.0,3.0,5.0,500.0,7.0,2021.0,0.0,5.073079602355259E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,24.0,2.0,7.0,1000.0,7.0,2021.0,0.0,5.228417459350434E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",5.0,30.0,2.0,7.0,1250.0,9.0,2021.0,0.0,5.228417459350434E-4
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",38.0,228.0,2.0,57.0,9500.0,11.0,2019.0,0.0,-0.003298008788489337
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",22.0,132.0,4.0,40.0,5500.0,3.0,2022.0,0.0,-1.1916725138254574E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,24.0,2.0,5.0,1000.0,4.0,2022.0,0.0,5.228417459350434E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,18.0,3.0,30.0,750.0,7.0,2022.0,0.0,6.288717087429953E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,18.0,3.0,12.0,750.0,5.0,2021.0,0.0,5.073079602355259E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",11.0,66.0,4.0,62.0,2750.0,2.0,2022.0,0.0,0.0034100975050123774
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",5.0,30.0,3.0,10.0,1250.0,2.0,2022.0,0.0,3.581791830968408E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",10.0,60.0,3.0,37.0,2500.0,3.0,2022.0,0.0,5.072335702196009E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",5.0,30.0,3.0,15.0,1250.0,9.0,2021.0,0.0,5.073079602355259E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,12.0,3.0,6.0,500.0,8.0,2021.0,0.0,5.073079602355259E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,24.0,2.0,34.0,1000.0,3.0,2022.0,0.0,5.227673559191183E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,2.0,13.0,250.0,11.0,2019.0,0.0,3.0918791567708954E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",13.0,78.0,2.0,14.0,3250.0,8.0,2021.0,0.0,0.0020006254222992405
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",9.0,54.0,3.0,17.0,2250.0,12.0,2019.0,0.0,-5.053364773592844E-5
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",47.0,282.0,3.0,51.0,11750.0,12.0,2019.0,0.0,-1.414951661884876E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,18.0,2.0,26.0,750.0,11.0,2019.0,0.0,6.366610108600847E-4
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",23.0,138.0,2.0,26.0,5750.0,11.0,2019.0,0.0,-4.556879197095574E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,2.0,8.0,250.0,12.0,2019.0,0.0,8.840976929187522E-5
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",17.0,102.0,2.0,20.0,4250.0,10.0,2019.0,0.0,5.722759491548325E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",5.0,30.0,2.0,28.0,1250.0,9.0,2019.0,0.0,6.444054944425128E-4
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",3.0,18.0,2.0,4.0,750.0,12.0,2019.0,0.0,-1.565636105438804E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,18.0,2.0,10.0,750.0,11.0,2019.0,0.0,5.150972623526153E-4
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",7.0,42.0,2.0,10.0,1750.0,11.0,2019.0,0.0,5.56257540595519E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,2.0,6.0,250.0,7.0,2021.0,0.0,3.169323992595176E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,12.0,3.0,10.0,500.0,11.0,2020.0,0.0,4.995634766530978E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,12.0,4.0,22.0,500.0,2.0,2022.0,0.0,4.6310516894871884E-4
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",1.0,6.0,3.0,4.0,250.0,10.0,2019.0,0.0,2.3035747476374442E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",6.0,36.0,4.0,48.0,1500.0,9.0,2020.0,0.0,8.763960691895003E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",60.0,360.0,3.0,66.0,15000.0,10.0,2019.0,0.0,-0.010769407863199288
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",5.0,30.0,3.0,66.0,1250.0,10.0,2019.0,0.0,0.004653206379133312
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,2.0,2.0,250.0,12.0,2020.0,0.0,8.840976929187522E-5
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,24.0,4.0,16.0,1000.0,11.0,2020.0,0.0,4.8292571399750645E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,18.0,4.0,28.0,750.0,4.0,2022.0,0.0,6.12233946087404E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",6.0,36.0,4.0,11.0,1500.0,7.0,2022.0,0.0,4.906701975799345E-4
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",26.0,156.0,3.0,55.0,6500.0,7.0,2022.0,0.0,0.0013207954799427492
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,6.0,4.0,50.0,250.0,4.0,2022.0,0.0,5.972571298557662E-4
