"familia","sector","estado","canton","provincia","id_fact_oec","num_cer","total_horas","volumen_capacitados","total_ganacias","dia","mes","anio","total_cursos","prediction(total_cursos)"
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayaquil","guayas",0.0,6.0,36.0,8.0,1500.0,1.0,6.0,2022.0,3.0,2.1091228324739726
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayaquil","guayas",1.0,1.0,6.0,1.0,250.0,2.0,8.0,2022.0,1.0,0.8492212905612044
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayaquil","guayas",3.0,4.0,24.0,4.0,1000.0,5.0,3.0,2022.0,1.0,1.0861533841207214
"actividades tipo servicios","enseñanza","habilitado","guayaquil","guayas",6.0,2.0,12.0,12.0,500.0,6.0,2.0,2022.0,3.0,2.654181319358927
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayaquil","guayas",9.0,7.0,42.0,11.0,1750.0,10.0,7.0,2022.0,2.0,2.4691390471389107
"actividades tipo servicios","enseñanza","habilitado","guayaquil","guayas",12.0,1.0,6.0,7.0,250.0,12.0,3.0,2022.0,2.0,2.7357330937347664
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayaquil","guayas",13.0,1.0,6.0,1.0,250.0,12.0,4.0,2022.0,1.0,0.8695223509775909
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayaquil","guayas",20.0,11.0,66.0,12.0,2750.0,17.0,2.0,2022.0,2.0,1.8718749207009617
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayaquil","guayas",23.0,7.0,42.0,8.0,1750.0,21.0,3.0,2022.0,2.0,1.7080730789138991
"actividades tipo servicios","enseñanza","habilitado","guayaquil","guayas",24.0,1.0,6.0,8.0,250.0,21.0,3.0,2022.0,2.0,2.8654801382626696
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayaquil","guayas",32.0,4.0,24.0,7.0,1000.0,31.0,5.0,2022.0,2.0,3.2530737891620314
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",34.0,1.0,6.0,1.0,250.0,7.0,6.0,2022.0,1.0,1.0436334317700906
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",35.0,1.0,6.0,1.0,250.0,11.0,7.0,2022.0,1.0,1.0503992155636164
"actividades tipo servicios","enseñanza","habilitado","guayaquil","guayas",37.0,1.0,6.0,2.0,250.0,28.0,4.0,2022.0,2.0,1.9452622008238771
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",39.0,1.0,6.0,1.0,250.0,6.0,5.0,2022.0,1.0,1.063224824748418
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",40.0,3.0,18.0,18.0,750.0,20.0,1.0,2022.0,2.0,3.4238205071442147
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",43.0,4.0,24.0,15.0,1000.0,1.0,6.0,2022.0,3.0,3.275963663819298
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",44.0,2.0,12.0,19.0,500.0,2.0,8.0,2022.0,2.0,3.1738245391688773
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",45.0,9.0,54.0,26.0,2250.0,4.0,4.0,2022.0,3.0,3.178911414523996
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",47.0,7.0,42.0,31.0,1750.0,14.0,6.0,2022.0,3.0,3.5676357558504472
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",50.0,4.0,24.0,5.0,1000.0,19.0,5.0,2022.0,2.0,2.4205839961623363
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",51.0,2.0,12.0,11.0,500.0,22.0,2.0,2022.0,2.0,3.10314952120551
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",55.0,1.0,6.0,5.0,250.0,31.0,5.0,2022.0,3.0,3.2374363315820895
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",57.0,10.0,60.0,16.0,2500.0,7.0,6.0,2022.0,3.0,2.8762115333220075
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",58.0,1.0,6.0,20.0,250.0,11.0,7.0,2022.0,2.0,3.208826260722149
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",59.0,5.0,30.0,30.0,1250.0,28.0,4.0,2022.0,4.0,3.882220446615052
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",67.0,1.0,6.0,3.0,250.0,7.0,2.0,2020.0,2.0,2.0916422217969606
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",69.0,18.0,108.0,20.0,4500.0,7.0,9.0,2021.0,3.0,1.9884338255132983
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",70.0,3.0,18.0,27.0,750.0,8.0,12.0,2020.0,3.0,3.2006761417824103
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",78.0,28.0,168.0,30.0,7000.0,21.0,6.0,2022.0,2.0,2.328294569025261
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",82.0,2.0,12.0,5.0,500.0,26.0,7.0,2021.0,3.0,2.81945037837339
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",84.0,4.0,24.0,7.0,1000.0,27.0,7.0,2021.0,2.0,2.977616434426623
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",85.0,5.0,30.0,7.0,1250.0,27.0,9.0,2021.0,2.0,2.512219078232179
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",88.0,38.0,228.0,57.0,9500.0,28.0,11.0,2019.0,2.0,1.8991593724594944
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",90.0,22.0,132.0,40.0,5500.0,8.0,3.0,2022.0,4.0,3.6566879212432335
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",92.0,4.0,24.0,5.0,1000.0,18.0,4.0,2022.0,2.0,2.3677562300699586
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",93.0,3.0,18.0,30.0,750.0,20.0,7.0,2022.0,3.0,3.5890525917666176
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",94.0,3.0,18.0,12.0,750.0,21.0,5.0,2021.0,3.0,3.3937069237917834
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",95.0,11.0,66.0,62.0,2750.0,3.0,2.0,2022.0,4.0,3.596945529118771
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",97.0,5.0,30.0,10.0,1250.0,9.0,2.0,2022.0,3.0,2.9015235596279902
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",101.0,10.0,60.0,37.0,2500.0,15.0,3.0,2022.0,3.0,3.58535242799097
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",103.0,5.0,30.0,15.0,1250.0,16.0,9.0,2021.0,3.0,3.193272221415996
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",106.0,2.0,12.0,6.0,500.0,25.0,8.0,2021.0,3.0,2.970878307168264
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",107.0,4.0,24.0,34.0,1000.0,30.0,3.0,2022.0,2.0,3.6098276232760194
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",109.0,1.0,6.0,13.0,250.0,25.0,11.0,2019.0,2.0,2.5283547699354907
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",111.0,13.0,78.0,14.0,3250.0,30.0,8.0,2021.0,2.0,1.4620056302273818
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",123.0,9.0,54.0,17.0,2250.0,3.0,12.0,2019.0,3.0,1.9879584692161965
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",125.0,47.0,282.0,51.0,11750.0,9.0,12.0,2019.0,3.0,1.6116768308192926
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",126.0,3.0,18.0,26.0,750.0,13.0,11.0,2019.0,2.0,2.6805058597337714
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",127.0,23.0,138.0,26.0,5750.0,13.0,11.0,2019.0,2.0,1.8201036121417795
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",128.0,1.0,6.0,8.0,250.0,20.0,12.0,2019.0,2.0,2.315780100388097
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",131.0,17.0,102.0,20.0,4250.0,22.0,10.0,2019.0,2.0,1.7073052000987312
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",132.0,5.0,30.0,28.0,1250.0,23.0,9.0,2019.0,2.0,2.604657059763654
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",135.0,3.0,18.0,4.0,750.0,24.0,12.0,2019.0,2.0,1.7555275688109626
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",138.0,3.0,18.0,10.0,750.0,29.0,11.0,2019.0,2.0,2.5264313644629377
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",139.0,7.0,42.0,10.0,1750.0,29.0,11.0,2019.0,2.0,1.8011898101112687
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",141.0,1.0,6.0,6.0,250.0,8.0,7.0,2021.0,2.0,2.881806905007566
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",142.0,2.0,12.0,10.0,500.0,25.0,11.0,2020.0,3.0,2.8009388500113213
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",145.0,2.0,12.0,22.0,500.0,18.0,2.0,2022.0,4.0,3.528379523108911
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",148.0,1.0,6.0,4.0,250.0,1.0,10.0,2019.0,3.0,2.2660273499541157
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",156.0,6.0,36.0,48.0,1500.0,7.0,9.0,2020.0,4.0,3.7723172674804895
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",159.0,60.0,360.0,66.0,15000.0,9.0,10.0,2019.0,3.0,2.3146096873306172
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",160.0,5.0,30.0,66.0,1250.0,9.0,10.0,2019.0,3.0,2.7706196923308974
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",164.0,1.0,6.0,2.0,250.0,10.0,12.0,2020.0,2.0,2.225423961918737
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",168.0,4.0,24.0,16.0,1000.0,13.0,11.0,2020.0,4.0,3.698108423522158
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",169.0,3.0,18.0,28.0,750.0,14.0,4.0,2022.0,4.0,3.924075341291414
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",170.0,6.0,36.0,11.0,1500.0,14.0,7.0,2022.0,4.0,3.1746524213931346
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",173.0,26.0,156.0,55.0,6500.0,16.0,7.0,2022.0,3.0,3.1999896212810066
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",177.0,1.0,6.0,50.0,250.0,17.0,4.0,2022.0,4.0,3.45452765372555
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",181.0,9.0,54.0,44.0,2250.0,19.0,4.0,2022.0,4.0,4.09762533912452
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",182.0,2.0,12.0,17.0,500.0,19.0,7.0,2022.0,4.0,3.59674612653997
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",186.0,8.0,48.0,59.0,2000.0,20.0,6.0,2022.0,4.0,3.4656788523870867
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",187.0,3.0,18.0,20.0,750.0,21.0,1.0,2022.0,4.0,3.581567667396471
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",188.0,10.0,60.0,38.0,2500.0,21.0,2.0,2022.0,4.0,3.6387911144092735
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",192.0,8.0,48.0,17.0,2000.0,23.0,9.0,2021.0,3.0,3.426926362407344
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",193.0,5.0,30.0,29.0,1250.0,24.0,3.0,2022.0,4.0,3.7471458250538356
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",194.0,6.0,36.0,31.0,1500.0,24.0,4.0,2021.0,4.0,3.856471315785698
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",195.0,13.0,78.0,23.0,3250.0,24.0,7.0,2022.0,4.0,3.3712434487670047
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",197.0,1.0,6.0,10.0,250.0,25.0,2.0,2022.0,4.0,3.2176117825992927
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",200.0,3.0,18.0,34.0,750.0,26.0,7.0,2022.0,4.0,3.9541061893787495
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",201.0,1.0,6.0,5.0,250.0,26.0,8.0,2021.0,3.0,3.42247975446388
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",202.0,6.0,36.0,30.0,1500.0,27.0,11.0,2020.0,4.0,3.7578907874258087
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",205.0,2.0,12.0,20.0,500.0,28.0,10.0,2020.0,3.0,3.526427711788515
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",206.0,10.0,60.0,44.0,2500.0,29.0,4.0,2022.0,3.0,4.34129276551083
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",207.0,10.0,60.0,21.0,2500.0,29.0,7.0,2022.0,4.0,3.5237863814099777
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",211.0,1.0,6.0,48.0,250.0,30.0,12.0,2019.0,3.0,3.284181588484885
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",212.0,46.0,276.0,48.0,11500.0,30.0,12.0,2019.0,3.0,2.5451660054632024
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",214.0,6.0,36.0,11.0,1500.0,31.0,5.0,2021.0,3.0,3.0220618020730265
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",217.0,36.0,216.0,39.0,9000.0,1.0,9.0,2021.0,2.0,2.3668984758432865
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",218.0,5.0,30.0,25.0,1250.0,1.0,10.0,2020.0,3.0,2.749497161675195
