"familia","sector","estado","canton","provincia","total_cursos","volumen_capacitados","dia","mes","anio","total_horas","prediction(total_horas)"
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayaquil","guayas",3.0,8.0,1.0,6.0,2022.0,36.0,11.246575342465754
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayaquil","guayas",1.0,1.0,2.0,8.0,2022.0,6.0,6.0
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayaquil","guayas",1.0,4.0,5.0,3.0,2022.0,24.0,24.0
"actividades tipo servicios","enseñanza","habilitado","guayaquil","guayas",3.0,12.0,6.0,2.0,2022.0,12.0,21.2
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayaquil","guayas",2.0,11.0,10.0,7.0,2022.0,42.0,34.56976744186046
"actividades tipo servicios","enseñanza","habilitado","guayaquil","guayas",2.0,7.0,12.0,3.0,2022.0,6.0,23.432835820895523
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayaquil","guayas",1.0,1.0,12.0,4.0,2022.0,6.0,6.0
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayaquil","guayas",2.0,12.0,17.0,2.0,2022.0,66.0,34.56976744186046
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayaquil","guayas",2.0,8.0,21.0,3.0,2022.0,42.0,23.432835820895523
"actividades tipo servicios","enseñanza","habilitado","guayaquil","guayas",2.0,8.0,21.0,3.0,2022.0,6.0,23.432835820895523
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayaquil","guayas",2.0,7.0,31.0,5.0,2022.0,24.0,23.432835820895523
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,1.0,7.0,6.0,2022.0,6.0,6.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,1.0,11.0,7.0,2022.0,6.0,6.0
"actividades tipo servicios","enseñanza","habilitado","guayaquil","guayas",2.0,2.0,28.0,4.0,2022.0,6.0,6.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,1.0,6.0,5.0,2022.0,6.0,6.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,18.0,20.0,1.0,2022.0,18.0,15.6
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,15.0,1.0,6.0,2022.0,24.0,34.97071129707113
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,19.0,2.0,8.0,2022.0,12.0,6.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,26.0,4.0,4.0,2022.0,54.0,34.97071129707113
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,31.0,14.0,6.0,2022.0,42.0,55.09090909090909
