"familia","sector","estado","canton","provincia","total_cursos","volumen_capacitados","dia","mes","anio","total_ganacias","prediction(total_ganacias)"
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayaquil","guayas",3.0,8.0,1.0,6.0,2022.0,1500.0,468.60730593607303
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayaquil","guayas",1.0,1.0,2.0,8.0,2022.0,250.0,250.0
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayaquil","guayas",1.0,4.0,5.0,3.0,2022.0,1000.0,1000.0
"actividades tipo servicios","enseñanza","habilitado","guayaquil","guayas",3.0,12.0,6.0,2.0,2022.0,500.0,883.3333333333334
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayaquil","guayas",2.0,11.0,10.0,7.0,2022.0,1750.0,1440.406976744186
"actividades tipo servicios","enseñanza","habilitado","guayaquil","guayas",2.0,7.0,12.0,3.0,2022.0,250.0,976.3681592039801
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayaquil","guayas",1.0,1.0,12.0,4.0,2022.0,250.0,250.0
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayaquil","guayas",2.0,12.0,17.0,2.0,2022.0,2750.0,1440.406976744186
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayaquil","guayas",2.0,8.0,21.0,3.0,2022.0,1750.0,976.3681592039801
"actividades tipo servicios","enseñanza","habilitado","guayaquil","guayas",2.0,8.0,21.0,3.0,2022.0,250.0,976.3681592039801
"servicios financieros","actividades jurídicas y de contabilidad","habilitado","guayaquil","guayas",2.0,7.0,31.0,5.0,2022.0,1000.0,976.3681592039801
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,1.0,7.0,6.0,2022.0,250.0,250.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,1.0,11.0,7.0,2022.0,250.0,250.0
"actividades tipo servicios","enseñanza","habilitado","guayaquil","guayas",2.0,2.0,28.0,4.0,2022.0,250.0,250.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",1.0,1.0,6.0,5.0,2022.0,250.0,250.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,18.0,20.0,1.0,2022.0,750.0,650.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,15.0,1.0,6.0,2022.0,1000.0,1457.112970711297
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,19.0,2.0,8.0,2022.0,500.0,250.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,26.0,4.0,4.0,2022.0,2250.0,1457.112970711297
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,31.0,14.0,6.0,2022.0,1750.0,2295.4545454545455
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,5.0,19.0,5.0,2022.0,1000.0,661.8421052631579
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,11.0,22.0,2.0,2022.0,500.0,1440.406976744186
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,5.0,31.0,5.0,2022.0,250.0,468.60730593607303
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,16.0,7.0,6.0,2022.0,2500.0,1457.112970711297
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,20.0,11.0,7.0,2022.0,250.0,2392.8571428571427
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,30.0,28.0,4.0,2022.0,1250.0,2295.4545454545455
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,3.0,7.0,2.0,2020.0,250.0,369.9095022624434
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,20.0,7.0,9.0,2021.0,4500.0,1457.112970711297
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,27.0,8.0,12.0,2020.0,750.0,2295.4545454545455
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,30.0,21.0,6.0,2022.0,7000.0,4435.606060606061
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,5.0,26.0,7.0,2021.0,500.0,468.60730593607303
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,7.0,27.0,7.0,2021.0,1000.0,976.3681592039801
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,7.0,27.0,9.0,2021.0,1250.0,976.3681592039801
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",2.0,57.0,28.0,11.0,2019.0,9500.0,8118.421052631579
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,40.0,8.0,3.0,2022.0,5500.0,2295.4545454545455
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,5.0,18.0,4.0,2022.0,1000.0,661.8421052631579
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,30.0,20.0,7.0,2022.0,750.0,2295.4545454545455
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,12.0,21.0,5.0,2021.0,750.0,883.3333333333334
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,62.0,3.0,2.0,2022.0,2750.0,1750.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,10.0,9.0,2.0,2022.0,1250.0,883.3333333333334
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,37.0,15.0,3.0,2022.0,2500.0,2295.4545454545455
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,15.0,16.0,9.0,2021.0,1250.0,1457.112970711297
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,6.0,25.0,8.0,2021.0,500.0,468.60730593607303
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,34.0,30.0,3.0,2022.0,1000.0,4435.606060606061
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,13.0,25.0,11.0,2019.0,250.0,1440.406976744186
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,14.0,30.0,8.0,2021.0,3250.0,1440.406976744186
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",3.0,17.0,3.0,12.0,2019.0,2250.0,1457.112970711297
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",3.0,51.0,9.0,12.0,2019.0,11750.0,2295.4545454545455
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,26.0,13.0,11.0,2019.0,750.0,6125.0
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",2.0,26.0,13.0,11.0,2019.0,5750.0,3000.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,8.0,20.0,12.0,2019.0,250.0,976.3681592039801
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",2.0,20.0,22.0,10.0,2019.0,4250.0,3000.0
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,28.0,23.0,9.0,2019.0,1250.0,4435.606060606061
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",2.0,4.0,24.0,12.0,2019.0,750.0,495.253164556962
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,10.0,29.0,11.0,2019.0,750.0,1440.406976744186
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",2.0,10.0,29.0,11.0,2019.0,1750.0,1440.406976744186
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",2.0,6.0,8.0,7.0,2021.0,250.0,661.8421052631579
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",3.0,10.0,25.0,11.0,2020.0,500.0,883.3333333333334
"actividades de enseñanza","enseñanza","habilitado","guayaquil","guayas",4.0,22.0,18.0,2.0,2022.0,500.0,1457.112970711297
"actividades tipo servicios","actividades de oficinas principales; actividades de consultoría de gestión","habilitado","guayaquil","guayas",3.0,4.0,1.0,10.0,2019.0,250.0,334.33734939759034
