id_fact_oc_rs,id_razon_social,id_fecha,fecha,dia,mes,anio,razon_social,estado,tipo_razon_social,fecha_resolucion,canton,provincia
0,1,6,31-12-2021,31,12,2021,abalco haro cristian patricio,calificado,operador de capacitación,19-10-2021,quito,pichincha
283,1,2142,31-01-2023,31,1,2023,abalco haro cristian patricio,calificado,operador de capacitación,19-10-2021,quito,pichincha
2,100,6,31-12-2021,31,12,2021,ankukuna,calificado,operador de capacitación,13-12-2021,pastaza,pastaza
1,100,3,31-12-2018,31,12,2018,ankukuna,calificado,operador de capacitación,13-12-2021,pastaza,pastaza
3,1015,6,31-12-2021,31,12,2021,hidalgo santander edgar arturo,calificado,operador de capacitación,20-07-2021,quito,pichincha
5,1049,6,31-12-2021,31,12,2021,instituto asedu ecuador aseduecuador s.a.,calificado,operador de capacitación,30-03-2021,guayaquil,guayas
11,1147,6,31-12-2021,31,12,2021,instituto superior tecnológico libertad,calificado,operador de capacitación,19-10-2021,quito,pichincha
353,1147,2142,31-01-2023,31,1,2023,instituto superior tecnológico libertad,calificado,operador de capacitación,19-10-2021,quito,pichincha
354,1147,2143,28-02-2023,28,2,2023,instituto superior tecnológico libertad,calificado,operador de capacitación,19-10-2021,quito,pichincha
14,1163,6,31-12-2021,31,12,2021,instituto superior tecnológico nelsón torres,calificado,operador de capacitación,15-12-2021,cayambe,pichincha
355,1163,2143,28-02-2023,28,2,2023,instituto superior tecnológico nelsón torres,calificado,operador de capacitación,15-12-2021,cayambe,pichincha
15,12,6,31-12-2021,31,12,2021,academia sudamericana de formacion en seguridad integral asfis cia.ltda.,calificado,operador de capacitación,6/10/2021,guayaquil,guayas
285,12,2142,31-01-2023,31,1,2023,academia sudamericana de formacion en seguridad integral asfis cia.ltda.,calificado,operador de capacitación,6/10/2021,guayaquil,guayas
18,1208,6,31-12-2021,31,12,2021,instituto tecnologico superior almirante illingworth,calificado,operador de capacitación,7/10/2021,guayaquil,guayas
16,1208,3,31-12-2018,31,12,2018,instituto tecnologico superior almirante illingworth,calificado,operador de capacitación,7/10/2021,guayaquil,guayas
17,1208,4,31-12-2019,31,12,2019,instituto tecnologico superior almirante illingworth,calificado,operador de capacitación,7/10/2021,guayaquil,guayas
356,1208,2143,28-02-2023,28,2,2023,instituto tecnologico superior almirante illingworth,calificado,operador de capacitación,7/10/2021,guayaquil,guayas
22,121,6,31-12-2021,31,12,2021,arias salazar gabriel esteban,calificado,operador de capacitación,15-11-2021,cuenca,azuay
20,121,3,31-12-2018,31,12,2018,arias salazar gabriel esteban,calificado,operador de capacitación,15-11-2021,cuenca,azuay
21,121,4,31-12-2019,31,12,2019,arias salazar gabriel esteban,calificado,operador de capacitación,15-11-2021,cuenca,azuay
291,121,2142,31-01-2023,31,1,2023,arias salazar gabriel esteban,calificado,operador de capacitación,15-11-2021,cuenca,azuay
292,121,2143,28-02-2023,28,2,2023,arias salazar gabriel esteban,calificado,operador de capacitación,15-11-2021,cuenca,azuay
26,1242,6,31-12-2021,31,12,2021,jacome davalos juan manuel,calificado,operador de capacitación,25-11-2021,quito,pichincha
358,1242,2143,28-02-2023,28,2,2023,jacome davalos juan manuel,calificado,operador de capacitación,25-11-2021,quito,pichincha
27,1243,6,31-12-2021,31,12,2021,jacome sandoya vinicio alejandro,calificado,operador de capacitación,30-12-2021,quito,pichincha
32,1280,6,31-12-2021,31,12,2021,junta provincial de la cruz roja del guayas,calificado,operador de capacitación,28-12-2021,guayaquil,guayas
35,1286,6,31-12-2021,31,12,2021,klavempresarial compañia anonima,calificado,operador de capacitación,2/9/2021,quito,pichincha
33,1286,3,31-12-2018,31,12,2018,klavempresarial compañia anonima,calificado,operador de capacitación,2/9/2021,quito,pichincha
34,1286,4,31-12-2019,31,12,2019,klavempresarial compañia anonima,calificado,operador de capacitación,2/9/2021,quito,pichincha
359,1286,2142,31-01-2023,31,1,2023,klavempresarial compañia anonima,calificado,operador de capacitación,2/9/2021,quito,pichincha
360,1286,2143,28-02-2023,28,2,2023,klavempresarial compañia anonima,calificado,operador de capacitación,2/9/2021,quito,pichincha
38,129,6,31-12-2021,31,12,2021,ascencap cia.ltda,calificado,operador de capacitación,25-08-2021,rumiñahui,pichincha
36,129,3,31-12-2018,31,12,2018,ascencap cia.ltda,calificado,operador de capacitación,25-08-2021,rumiñahui,pichincha
37,129,4,31-12-2019,31,12,2019,ascencap cia.ltda,calificado,operador de capacitación,25-08-2021,rumiñahui,pichincha
293,129,2142,31-01-2023,31,1,2023,ascencap cia.ltda,calificado,operador de capacitación,25-08-2021,rumiñahui,pichincha
294,129,2143,28-02-2023,28,2,2023,ascencap cia.ltda,calificado,operador de capacitación,25-08-2021,rumiñahui,pichincha
